"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 23 13:57:18 GMT 2021","Mon Aug 23 13:57:39 GMT 2021","21253","","tests.SpotifyTest","","tests.SpotifyTest","DeleteListsTest","DeleteListsTest()",""
"broken","Mon Aug 23 13:58:29 GMT 2021","Mon Aug 23 13:58:40 GMT 2021","11468","","tests.SpotifyTest","","tests.SpotifyTest","CreateAnListFromFileTest","CreateAnListFromFileTest()",""
"broken","Mon Aug 23 13:58:40 GMT 2021","Mon Aug 23 13:58:52 GMT 2021","11490","","tests.SpotifyTest","","tests.SpotifyTest","SelectAnExistingListTest","SelectAnExistingListTest()",""
"failed","Mon Aug 23 13:58:52 GMT 2021","Mon Aug 23 13:59:14 GMT 2021","22309","","tests.SpotifyTest","","tests.SpotifyTest","ReadPrivacyPolicyTest","ReadPrivacyPolicyTest()",""
"broken","Mon Aug 23 13:58:03 GMT 2021","Mon Aug 23 13:58:15 GMT 2021","11759","","tests.SpotifyTest","","tests.SpotifyTest","WriteTheShowListToFileTest","WriteTheShowListToFileTest()",""
"passed","Mon Aug 23 13:58:15 GMT 2021","Mon Aug 23 13:58:29 GMT 2021","13850","","tests.SpotifyTest","","tests.SpotifyTest","TopListToListTest","TopListToListTest()",""
"broken","Mon Aug 23 13:59:26 GMT 2021","Mon Aug 23 13:59:37 GMT 2021","11627","","tests.SpotifyTest","","tests.SpotifyTest","LoginToPageTest","LoginToPageTest()",""
"broken","Mon Aug 23 13:59:14 GMT 2021","Mon Aug 23 13:59:26 GMT 2021","11556","","tests.SpotifyTest","","tests.SpotifyTest","AddShowListTest","AddShowListTest()",""
"broken","Mon Aug 23 13:57:51 GMT 2021","Mon Aug 23 13:58:03 GMT 2021","11815","","tests.SpotifyTest","","tests.SpotifyTest","AddAMusicToNewListTest","AddAMusicToNewListTest()",""
"broken","Mon Aug 23 13:57:39 GMT 2021","Mon Aug 23 13:57:51 GMT 2021","12062","","tests.SpotifyTest","","tests.SpotifyTest","SpotifyLogoutTest","SpotifyLogoutTest()",""
